TagID,TagName
1,004
2,005
3,006
4,008
5,00C
6,00E
7,00G
8,00K
9,00L
10,00M
11,00Q
12,00R
13,00Z
14,010
15,014
16,016
17,01C
18,01E
19,01I
20,01J
21,01L
22,01M
23,01N
24,01P
25,01R
26,020
27,023
28,027
29,02B
30,02D
31,02F
32,02J
33,02L
34,02N
35,02O
36,02P
37,02S
38,02U
39,02W
40,02Z
41,033
42,036
43,03K
44,03M
45,03Q
46,03S
47,03V
48,03Y
49,041
50,043
51,045
52,046
53,048
54,049
55,04E
56,04F
57,04J
58,04Q
59,04S
60,04T
61,04X
62,04Y
63,04Z
64,051
65,057
66,05A
67,05D
68,05G
69,05H
70,05K
71,05M
72,05O
73,05P
74,05R
75,05U
76,05Y
77,05Z
78,062
79,069
80,06B
81,06C
82,06I
83,06M
84,06N
85,06Q
86,06R
87,06S
88,06X
89,071
90,072
91,077
92,079
93,07C
94,07H
95,07N
96,07P
97,07Q
98,07T
99,080
100,083
101,085
102,087
103,08D
104,08F
105,08J
106,08K
107,08N
108,08P
109,08S
110,08V
111,08W
112,08X
113,08Z
114,090
115,092
116,094
117,095
118,096
119,097
120,09A
121,09B
122,09F
123,09G
124,09H
125,09L
126,09R
127,09T
128,09V
129,09W
130,09X
131,0A1
132,0A3
133,0A4
134,0A8
135,0A9
136,0AC
137,0AD
138,0AG
139,0AI
140,0AJ
141,0AS
142,0AT
143,0AX
144,0AY
145,0AZ
146,0B3
147,0B4
148,0B5
149,0BC
150,0BH
151,0BI
152,0BJ
153,0BL
154,0BM
155,0BN
156,0BO
157,0BT
158,0BZ
159,0C2
160,0C4
161,0C5
162,0C7
163,0CA
164,0CG
165,0CO
166,0CP
167,0CT
168,0CV
169,0CW
170,0D3
171,0DB
172,0DE
173,0DJ
174,0DK
175,0DL
176,0DP
177,0DQ
178,0DT
179,0DU
180,0DV
181,0E3
182,0E4
183,0E5
184,0E7
185,0ED
186,0EE
187,0EG
188,0EJ
189,0EK
190,0EV
191,0EW
192,0F5
193,0FC
194,0FG
195,0FH
196,0FM
197,0FN
198,0FO
199,0FP
200,0FR
201,0FV
202,0FY
203,0G2
204,0G4
205,0G8
206,0GH
207,0GN
208,0GR
209,0GS
210,0GT
211,0GV
212,0H3
213,0H4
214,0H7
215,0H9
216,0HC
217,0HD
218,0HK
219,0HO
